time (s),temperature (C)
0.1,20.3
0.27,20.23
0.37,20.04
0.47,20.12
0.57,20.08
0.68,20.2
0.78,20.09
0.88,20.15
0.99,20.08
1.09,20.21
1.19,20.11
1.29,20.31
1.4,20.07
1.5,20.12
1.6,20.15
1.7,20.45
1.81,20.0
1.91,20.21
2.01,20.39
2.11,20.23
2.22,20.22
2.32,20.38
2.42,20.27
2.52,20.37
2.63,20.55
2.73,20.26
2.83,20.39
2.93,20.18
3.04,20.2
3.14,20.27
3.24,20.29
3.35,20.42
3.45,20.46
3.55,20.72
3.65,20.21
3.76,20.25
3.86,20.37
3.96,20.37
4.06,20.39
4.17,20.45
4.27,20.44
4.37,20.37
4.47,20.55
4.57,20.41
4.68,20.53
4.78,20.49
4.88,20.44
4.99,20.3
5.09,20.51
5.19,20.54
5.29,20.43
5.4,20.56
5.5,20.7
5.6,20.36
5.7,20.63
5.81,20.61
5.91,20.69
6.01,20.48
6.11,20.74
6.22,20.41
6.32,20.47
6.42,20.57
6.52,20.4
6.63,20.63
6.73,20.57
6.83,20.66
6.93,20.42
7.04,20.51
7.14,20.7
7.24,20.62
7.34,20.75
7.45,20.69
7.55,20.8
7.65,20.61
7.75,20.9
7.86,20.93
7.96,20.51
8.06,20.71
8.17,20.37
8.27,20.53
8.37,20.75
8.47,20.55
8.57,20.5
8.68,20.51
8.78,20.66
8.88,20.49
8.98,20.4
9.09,20.46
9.19,20.41
9.29,20.26
9.4,20.32
9.5,20.37
9.6,20.19
9.7,20.5
9.81,19.85
9.91,20.25
10.01,20.16
10.11,20.09
10.22,19.96
10.32,20.02
10.42,19.92
10.52,20.14
10.63,19.86
10.73,19.97
10.83,19.81
10.93,19.68
11.04,19.71
11.14,19.55
11.24,19.69
11.34,19.72
11.45,19.38
11.55,19.21
11.65,19.21
11.76,19.44
11.86,19.07
11.96,19.22
12.06,19.12
12.17,19.07
12.27,19.09
12.37,19.08
12.47,18.88
12.58,18.72
12.68,19.19
12.78,18.92
12.88,18.79
12.99,18.69
13.09,18.58
13.19,18.43
13.29,18.87
13.4,18.22
13.5,18.44
13.6,18.33
13.71,18.31
13.81,18.27
13.91,18.25
14.01,18.24
14.11,17.97
14.22,18.01
14.32,18.04
14.42,17.88
14.52,17.61
14.63,17.71
14.73,17.63
14.83,17.71
14.94,17.38
15.04,17.2
15.14,17.55
15.24,17.2
15.35,17.5
15.45,17.21
15.55,17.51
15.65,17.25
15.76,17.15
15.86,17.04
15.96,17.06
16.06,16.82
16.17,16.75
16.27,16.83
16.37,16.74
16.47,16.53
16.58,16.66
16.68,16.26
16.78,16.36
16.88,16.93
16.99,16.29
17.09,16.28
17.19,16.32
17.3,16.02
17.4,16.09
17.5,16.22
17.6,16.09
17.7,16.09
17.81,15.94
17.91,15.9
18.01,15.62
18.12,15.67
18.22,15.47
18.32,15.46
18.42,15.31
18.53,15.32
18.63,15.22
18.73,15.26
18.83,15.21
18.94,15.21
19.04,15.07
19.14,14.91
19.25,15.07
19.35,15.01
19.45,15.07
19.55,14.86
19.65,14.77
19.76,14.51
19.86,14.63
19.96,14.56
20.07,14.34
20.17,14.49
20.27,14.32
20.37,14.48
20.48,14.35
20.58,14.31
20.68,14.22
20.78,14.05
20.89,14.3
20.99,14.15
21.09,14.14
21.19,14.11
21.3,14.09
21.4,14.07
21.5,13.91
21.6,13.97
21.71,13.7
21.81,13.78
21.91,13.89
22.02,13.75
22.12,13.88
22.22,13.89
22.32,13.82
22.43,13.73
22.53,13.85
22.63,13.86
22.73,13.88
22.84,13.87
22.94,13.51
23.04,13.88
23.14,13.65
23.25,13.59
23.35,13.75
23.45,13.84
23.55,13.71
23.66,13.62
23.76,13.48
23.86,13.51
23.96,13.68
24.07,13.62
24.17,13.74
24.27,13.58
24.37,13.69
24.48,13.55
24.58,13.74
24.68,13.68
24.78,13.54
24.89,13.68
24.99,13.82
25.09,13.46
25.2,13.41
25.3,13.71
25.4,13.78
25.5,13.66
25.61,13.8
25.71,13.68
25.81,13.66
25.91,14.01
26.02,13.62
26.12,13.58
26.22,13.95
26.32,13.52
26.43,13.81
26.53,13.82
26.63,13.68
26.73,13.9
26.84,13.89
26.94,13.95
27.04,13.75
27.15,13.74
27.25,13.92
27.35,13.91
27.45,13.91
27.56,13.84
27.66,13.87
27.76,13.82
27.86,13.83
27.97,13.9
28.07,13.87
28.17,14.22
28.27,14.15
28.38,14.03
28.48,13.99
28.58,14.1
28.68,14.15
28.79,14.19
28.89,14.01
28.99,14.22
29.09,13.95
29.2,14.22
29.3,14.3
29.4,14.22
29.5,14.36
29.61,14.15
29.71,14.3
29.81,14.36
29.92,14.43
30.02,14.13
30.12,14.5
30.22,14.57
30.33,14.55
30.43,14.62
30.53,14.64
30.63,14.43
30.74,14.45
30.84,14.45
30.94,14.62
31.04,14.6
31.15,14.56
31.25,14.73
31.35,14.55
31.45,14.58
31.56,14.75
31.66,14.71
31.76,14.81
31.86,14.84
31.97,15.11
32.07,14.86
32.17,14.81
32.28,14.99
32.38,14.94
32.48,15.1
32.58,15.13
32.69,14.86
32.79,15.01
32.89,15.22
32.99,15.18
33.1,14.99
33.2,15.04
33.3,15.13
33.4,15.18
33.51,15.18
33.61,15.24
33.71,15.13
33.81,15.33
33.92,15.24
34.02,15.2
34.12,15.37
34.23,15.26
34.33,15.13
34.43,15.47
34.53,15.07
34.64,15.46
34.74,15.17
34.84,15.25
34.94,15.04
35.05,15.34
35.15,15.27
35.25,15.04
35.35,15.56
35.46,15.15
35.56,15.11
35.66,15.39
35.77,15.42
35.87,15.48
35.97,15.28
36.07,15.31
36.18,15.22
36.28,15.13
36.38,15.17
36.48,15.19
36.59,15.23
36.69,15.34
36.79,15.14
36.89,15.26
37.0,15.23
37.1,15.12
37.2,15.2
37.3,15.25
37.41,15.13
37.51,15.2
37.61,15.07
37.71,15.01
37.82,15.33
37.92,15.07
38.02,15.19
38.13,15.09
38.23,15.2
38.33,15.23
38.43,15.13
38.54,15.31
38.64,15.16
38.74,15.01
38.84,15.03
38.95,15.08
39.05,15.03
39.15,14.82
39.25,15.07
39.36,15.17
39.46,15.07
39.56,15.07
39.66,14.79
39.77,14.94
39.87,15.03
39.97,14.81
40.07,14.85
40.18,14.83
40.28,14.97
40.38,14.75
40.48,14.57
40.59,14.79
40.69,14.87
40.79,14.86
40.9,14.7
41.0,14.67
41.1,14.79
41.2,14.95
41.31,14.78
41.41,14.82
41.51,14.75
41.61,14.7
41.72,14.74
41.82,14.82
41.92,14.83
42.02,14.93
42.13,14.76
42.23,15.0
42.33,14.58
42.43,14.8
42.54,14.62
42.64,14.9
42.74,14.88
42.85,14.75
42.95,14.9
43.05,14.84
43.15,15.07
43.26,14.72
43.36,14.68
43.46,14.8
43.56,14.84
43.67,14.89
43.77,14.83
43.87,14.74
43.97,15.09
44.08,14.72
44.18,14.83
44.28,14.74
44.38,14.76
44.49,14.77
44.59,15.06
44.69,14.96
44.79,14.77
44.9,14.94
45.0,14.62
45.1,14.84
45.21,14.93
45.31,14.88
45.41,15.22
45.51,14.98
45.62,14.9
45.72,14.87
45.82,14.91
45.92,15.07
46.03,14.9
46.13,15.05
46.23,15.08
46.33,14.94
46.44,15.01
46.54,14.85
46.64,14.92
46.74,15.3
46.85,15.01
46.95,15.07
47.05,14.85
47.15,14.89
47.26,15.04
47.36,15.01
47.46,15.39
47.56,15.07
47.67,15.39
47.77,15.2
47.87,15.07
47.97,15.16
48.08,15.17
48.18,15.07
48.28,15.03
48.39,15.29
48.49,15.34
48.59,15.02
48.69,15.13
48.8,15.26
48.9,15.07
49.0,15.2
49.1,15.2
49.21,15.08
49.31,15.23
49.41,15.04
49.51,15.12
49.62,15.13
49.72,15.0
49.82,15.02
49.93,15.06
50.03,15.19
50.13,14.81
50.23,14.98
50.34,15.01
50.44,15.01
50.54,15.08
50.64,14.83
50.75,14.92
50.85,14.94
50.95,15.0
51.05,15.01
51.16,15.09
51.26,15.01
51.36,15.04
51.46,15.12
51.57,15.13
51.67,15.17
51.77,14.96
51.87,14.81
51.98,15.02
52.08,15.07
52.18,15.01
52.29,14.98
52.39,15.05
52.49,15.09
52.59,15.01
52.7,15.12
52.8,15.1
52.9,15.07
53.0,15.2
53.11,14.96
53.21,15.15
53.31,14.83
53.41,15.19
53.52,15.01
53.62,14.96
53.72,15.03
53.82,15.18
53.93,15.28
54.03,14.82
54.13,14.88
54.24,15.13
54.34,14.99
54.44,14.94
54.54,14.88
54.65,15.11
54.75,14.91
54.85,15.13
54.95,14.88
55.06,15.09
55.16,15.0
55.26,15.07
55.36,15.79
55.47,14.75
55.57,15.02
55.67,14.99
55.77,15.17
55.88,15.1
55.98,14.78
56.08,15.08
56.18,15.02
56.29,14.94
56.39,14.86
56.49,15.15
56.59,14.99
56.7,14.96
56.8,14.85
56.9,14.99
57.01,14.78
57.11,14.99
57.21,14.76
57.31,14.76
57.42,14.76
57.52,14.91
57.62,14.97
57.72,14.98
57.83,14.88
57.93,14.93
58.03,14.84
58.13,14.81
58.24,14.85
58.34,14.84
58.44,14.8
58.54,14.89
58.65,14.8
58.75,14.92
58.85,14.86
58.95,14.84
59.06,15.06
59.16,14.81
59.26,14.88
59.37,14.97
59.47,14.89
59.57,14.99
59.67,14.92
59.78,14.82
59.88,15.24
59.98,15.04
60.08,14.92
60.19,14.91
60.29,14.97
60.39,14.94
60.49,14.9
60.6,15.13
60.7,14.99
60.8,15.07
60.9,14.93
61.01,14.95
61.11,15.1
61.21,15.16
61.31,15.02
61.42,14.94
