time (s),temperature (C)
0.1,21.25
0.27,21.06
0.37,21.1
0.47,21.1
0.57,21.0
0.68,21.07
0.78,21.2
0.88,21.11
0.98,21.29
1.09,21.26
1.19,21.14
1.29,21.15
1.39,21.19
1.5,20.94
1.6,21.3
1.7,21.32
1.8,21.36
1.91,21.25
2.01,21.11
2.11,21.22
2.21,21.03
2.32,21.26
2.42,21.07
2.52,21.1
2.62,21.32
2.73,21.17
2.83,20.92
2.93,21.06
3.03,21.11
3.14,21.31
3.24,21.01
3.34,21.19
3.44,21.39
3.55,21.19
3.65,21.19
3.75,21.04
3.85,21.19
3.96,21.19
4.06,21.1
4.16,21.15
4.26,21.27
4.37,21.33
4.47,21.19
4.57,21.09
4.67,21.13
4.78,21.19
4.88,21.19
4.98,21.15
5.08,21.04
5.19,21.21
5.29,21.19
5.39,21.29
5.49,21.23
5.59,21.16
5.7,21.14
5.8,21.14
5.9,21.29
6.0,21.07
6.11,21.28
6.21,21.47
6.31,21.3
6.42,21.21
6.52,21.06
6.62,21.2
6.72,21.15
6.82,21.3
6.93,21.14
7.03,21.19
7.13,21.32
7.23,21.25
7.34,21.25
7.44,21.12
7.54,21.16
7.64,21.02
7.75,21.38
7.85,21.18
7.95,21.1
8.05,21.29
8.16,21.15
8.26,21.25
8.36,21.1
8.46,21.29
8.57,21.0
8.67,21.21
8.77,21.21
8.87,21.14
8.98,21.27
9.08,21.09
9.18,21.45
9.28,21.23
9.39,21.13
9.49,21.23
9.59,21.13
9.69,21.28
9.8,21.24
9.9,21.26
10.0,21.24
10.1,21.2
10.21,21.08
10.31,21.15
10.41,21.15
10.51,21.14
10.61,21.29
10.72,21.24
10.82,21.13
10.92,21.32
11.02,21.28
11.13,21.13
11.23,21.25
11.33,20.95
11.44,21.1
11.54,21.32
11.64,21.17
11.74,21.24
11.85,21.25
11.95,21.37
12.05,21.25
12.15,21.31
12.26,21.17
12.36,21.08
12.46,21.26
12.56,21.14
12.67,21.27
12.77,21.15
12.87,21.18
12.97,21.14
13.07,21.13
13.18,21.37
13.28,21.25
13.38,21.19
13.48,21.18
13.59,21.22
13.69,21.23
13.79,21.19
13.9,21.25
14.0,21.14
14.1,21.15
14.2,21.13
14.31,21.28
14.41,21.41
14.51,21.38
14.61,20.94
14.71,21.01
14.82,21.03
14.92,21.24
15.02,21.18
15.13,21.06
15.23,21.32
15.33,21.25
15.43,21.22
15.53,21.23
15.64,21.2
15.74,21.37
15.84,21.22
15.94,21.36
16.05,21.06
16.15,21.2
16.25,21.4
16.35,21.28
16.46,21.13
16.56,21.36
16.66,21.21
16.76,21.06
16.87,21.11
16.97,21.14
17.07,21.14
17.17,21.25
17.28,21.08
17.38,21.0
17.48,20.98
17.58,21.27
17.69,21.19
17.79,21.35
17.89,21.51
17.99,21.18
18.1,21.36
18.2,21.41
18.3,21.14
18.4,21.19
18.51,21.17
18.61,21.1
18.71,21.16
18.81,21.21
18.92,21.48
19.02,21.0
19.12,20.93
19.22,21.18
19.33,21.13
19.43,21.01
19.53,21.07
19.63,21.05
19.74,20.94
19.84,21.1
19.94,21.29
20.04,21.05
20.15,21.11
20.25,20.98
20.35,21.09
20.45,20.93
20.56,20.62
20.66,20.82
20.76,20.64
20.86,20.87
20.97,20.75
21.07,20.63
21.17,20.55
21.27,20.69
21.38,20.5
21.48,20.65
21.58,20.61
21.68,20.36
21.79,20.4
21.89,20.39
21.99,20.41
22.09,20.25
22.2,20.19
22.3,20.11
22.4,20.11
22.5,20.05
22.61,20.35
22.71,19.93
22.81,19.93
22.91,19.81
23.02,19.76
23.12,19.7
23.22,19.82
23.32,19.59
23.43,19.56
23.53,19.65
23.63,19.5
23.73,19.61
23.84,19.49
23.94,19.32
24.04,19.29
24.14,19.27
24.25,19.44
24.35,19.05
24.45,19.15
24.55,19.09
24.66,18.7
24.76,18.59
24.86,18.94
24.96,18.8
25.07,18.9
25.17,18.79
25.27,18.51
25.37,18.42
25.48,18.53
25.58,18.37
25.68,18.28
25.78,18.38
25.89,18.33
25.99,18.33
26.09,18.33
26.19,17.99
26.3,18.18
26.4,18.15
26.5,18.2
26.6,17.88
26.7,17.96
26.81,17.92
26.91,17.95
27.01,17.82
27.12,17.77
27.22,18.03
27.32,18.21
27.42,17.98
27.53,17.87
27.63,17.65
27.73,17.65
27.83,17.88
27.94,17.91
28.04,17.77
28.14,17.49
28.24,17.51
28.35,17.62
28.45,17.55
28.55,17.73
28.65,17.46
28.75,17.46
28.86,17.76
28.96,17.4
29.06,17.65
29.17,17.49
29.27,17.65
29.37,17.5
29.47,17.34
29.58,17.45
29.68,17.39
29.78,17.56
29.88,17.39
29.98,17.33
30.09,17.34
30.19,17.17
30.29,17.29
30.4,17.28
30.5,17.4
30.6,17.33
30.7,17.5
30.81,17.24
30.91,17.46
31.01,17.4
31.11,17.42
31.21,17.18
31.32,17.35
31.42,17.39
31.52,17.06
31.63,17.34
31.73,17.55
31.83,17.26
31.93,17.19
32.04,17.59
32.14,17.3
32.24,17.55
32.34,17.13
32.45,17.33
32.55,17.21
32.65,17.21
32.75,17.35
32.86,17.32
32.96,17.26
33.06,17.29
33.16,17.3
33.27,17.33
33.37,17.28
33.47,17.39
33.57,17.26
33.68,17.34
33.78,17.28
33.88,17.51
33.98,17.39
34.09,17.44
34.19,17.45
34.29,17.5
34.39,17.42
34.5,17.58
34.6,17.35
34.7,17.32
34.8,17.65
34.9,17.57
35.01,17.4
35.11,17.47
35.21,17.36
35.31,17.44
35.42,17.65
35.52,17.47
35.62,17.49
35.72,17.71
35.83,17.56
35.93,17.42
36.03,17.74
36.13,17.59
36.24,17.51
36.34,17.56
36.44,17.62
36.54,17.48
36.65,17.73
36.75,17.71
36.85,17.57
36.96,17.82
37.06,17.7
37.16,17.59
37.26,17.87
37.37,17.73
37.47,17.53
37.57,17.75
37.67,17.68
37.78,17.53
37.88,17.77
37.98,17.74
38.08,17.79
38.18,17.82
38.29,17.44
38.39,17.82
38.49,17.87
38.6,17.58
38.7,17.85
38.8,17.87
38.9,17.79
39.01,17.94
39.11,17.79
39.21,17.81
39.31,18.0
39.41,17.96
39.52,18.11
39.62,18.02
39.72,17.93
39.83,18.22
39.93,17.91
40.03,18.02
40.13,18.12
40.24,17.95
40.34,17.83
40.44,18.22
40.54,17.9
40.64,18.01
40.75,18.21
40.85,18.01
40.95,18.04
41.06,18.13
41.16,18.06
41.26,18.23
41.36,18.18
41.46,18.06
41.57,18.2
41.67,18.26
41.77,18.14
41.88,18.2
41.98,18.29
42.08,18.14
42.18,18.27
42.29,18.24
42.39,18.33
42.49,18.33
42.59,18.26
42.69,18.51
42.8,18.08
42.9,18.33
43.0,18.3
43.11,18.03
43.21,18.25
43.31,18.41
43.41,18.46
43.51,18.72
43.62,18.36
43.72,18.4
43.82,18.41
43.92,18.33
44.03,18.37
44.13,18.49
44.23,18.7
44.34,18.3
44.44,18.52
44.54,18.58
44.64,18.55
44.74,18.54
44.85,18.76
44.95,18.87
45.05,18.56
45.15,18.44
45.26,18.61
45.36,18.84
45.46,18.64
45.56,18.48
45.67,18.59
45.77,18.93
45.87,18.75
45.97,18.7
46.08,18.76
46.18,18.65
46.28,18.65
46.38,18.86
46.49,18.94
46.59,18.86
46.69,18.76
46.79,18.76
46.9,18.76
47.0,18.88
47.1,18.62
47.2,18.66
47.31,18.78
47.41,18.5
47.51,19.05
47.61,18.65
47.72,18.84
47.82,19.05
47.92,19.15
48.02,18.98
48.13,18.9
48.23,18.95
48.33,19.07
48.43,18.93
48.54,18.86
48.64,18.88
48.74,18.87
48.84,19.16
48.95,18.96
49.05,18.82
49.15,18.99
49.25,19.21
49.36,19.02
49.46,19.11
49.56,18.84
49.66,18.99
49.77,19.15
49.87,18.89
49.97,18.97
50.07,19.02
50.18,19.26
50.28,19.06
50.38,18.76
50.48,19.29
50.59,18.83
50.69,18.9
50.79,18.97
50.89,18.94
51.0,19.06
51.1,19.05
51.2,18.83
51.3,18.88
51.41,18.85
51.51,18.93
51.61,18.87
51.71,18.83
51.82,18.9
51.92,18.77
52.02,18.87
52.12,19.07
52.23,18.85
52.33,18.82
52.43,19.0
52.53,18.84
52.64,18.91
52.74,18.92
52.84,18.88
52.94,18.87
53.05,18.87
53.15,18.85
53.25,18.86
53.35,18.75
53.46,18.73
53.56,19.0
53.66,18.56
53.76,18.57
53.87,18.88
53.97,18.75
54.07,18.76
54.17,18.57
54.28,18.86
54.38,18.71
54.48,18.63
54.58,18.6
54.69,18.56
54.79,18.48
54.89,18.48
54.99,18.7
55.1,18.7
55.2,18.42
55.3,18.6
55.4,18.6
55.51,18.51
55.61,18.43
55.71,18.56
55.81,18.71
55.92,18.67
56.02,18.52
56.12,19.13
56.22,18.54
56.33,18.64
56.43,18.8
56.53,18.39
56.63,18.62
56.74,18.64
56.84,18.63
56.94,18.57
57.04,18.61
57.15,18.5
57.25,18.59
57.35,18.68
57.45,18.41
57.56,18.57
57.66,18.41
57.76,18.48
57.86,18.47
57.97,18.42
58.07,18.51
58.17,18.8
58.27,18.27
58.38,18.49
58.48,18.43
58.58,18.53
58.68,18.53
58.79,18.55
58.89,18.53
58.99,18.44
59.09,18.65
59.2,18.49
59.3,18.75
59.4,18.32
59.5,18.64
59.61,18.65
59.71,18.7
59.81,18.65
59.91,18.55
60.02,18.62
60.12,18.52
60.22,18.55
60.32,18.57
60.43,18.71
60.53,18.7
60.63,18.45
60.73,18.85
60.84,18.64
60.94,18.51
61.04,18.74
61.14,18.55
61.25,18.58
61.35,18.7
61.45,18.7
61.55,18.57
61.66,18.61
61.76,18.69
61.86,18.62
61.96,18.62
62.06,18.63
62.17,18.62
62.27,18.75
62.37,18.56
62.48,18.55
62.58,18.45
62.68,18.73
62.78,18.7
62.88,18.67
62.99,18.64
63.09,18.57
63.19,18.64
63.29,18.89
63.4,18.79
63.5,18.8
63.6,18.68
63.71,18.6
63.81,18.61
63.91,18.78
64.01,18.44
64.11,18.55
64.22,18.7
64.32,18.64
64.42,18.77
64.52,18.57
64.63,18.44
64.73,18.63
64.83,18.62
64.93,18.92
65.04,18.78
65.14,18.82
65.24,18.67
65.34,18.67
65.45,18.73
65.55,18.71
65.65,18.52
65.76,18.7
65.86,18.66
65.96,18.57
66.06,18.86
66.16,18.82
66.27,18.7
66.37,18.86
66.47,18.82
66.57,18.68
66.68,18.68
66.78,18.78
66.88,18.78
66.98,18.56
67.09,18.78
67.19,18.64
67.29,18.82
67.39,18.91
67.5,18.74
67.6,18.37
67.7,18.83
67.8,18.64
67.91,18.7
68.01,18.79
68.11,18.92
68.21,18.59
68.32,18.7
68.42,18.97
68.52,18.71
68.62,18.93
68.73,19.54
68.83,18.65
68.93,18.97
69.04,18.42
69.14,18.8
69.24,18.46
69.34,18.67
69.44,18.77
69.55,18.7
69.65,18.82
69.75,18.53
69.86,18.56
69.96,18.47
70.06,18.67
70.16,18.72
70.26,18.66
70.37,18.82
70.47,18.53
