time (s),temperature (C)
0.17,18.23
0.47,18.39
0.77,18.33
1.07,18.21
1.38,18.39
1.68,18.33
1.98,18.23
2.28,18.38
2.59,18.51
2.89,18.42
3.19,18.37
3.49,18.16
3.8,18.39
4.1,18.27
4.4,18.42
4.7,18.43
5.01,18.26
5.31,18.32
5.61,18.35
5.91,18.25
6.21,18.34
6.52,18.23
6.82,18.57
7.12,18.62
7.43,18.51
7.73,18.2
8.03,18.42
8.33,18.32
8.63,18.76
8.94,18.53
9.24,18.54
9.54,18.39
9.84,18.41
10.15,18.46
10.45,18.72
10.75,18.38
11.05,18.69
11.36,18.7
11.66,18.56
11.96,18.51
12.26,18.7
12.57,18.57
12.87,18.59
13.17,18.69
13.47,18.71
13.78,18.75
14.08,18.66
14.38,18.7
14.68,18.52
14.99,18.95
15.29,18.65
15.59,18.88
15.89,18.94
16.2,18.91
16.5,18.89
16.8,18.82
17.1,18.86
17.41,18.94
17.71,19.1
18.01,18.8
18.31,19.06
18.62,19.03
18.92,19.17
19.22,19.0
19.52,18.88
19.83,19.14
20.13,19.14
20.43,19.22
20.73,19.05
21.04,19.08
21.34,19.11
21.64,19.1
21.94,18.95
22.25,19.18
22.55,19.22
22.85,18.76
23.15,18.96
23.46,18.86
23.76,18.97
24.06,19.02
24.36,18.98
24.67,19.04
24.97,18.88
25.27,18.95
25.57,18.88
25.88,19.06
26.18,18.98
26.48,19.04
26.78,18.81
27.09,18.82
27.39,18.9
27.69,19.4
27.99,18.8
28.3,18.67
28.6,18.76
28.9,18.49
29.2,18.58
29.51,18.7
29.81,18.56
30.11,18.4
30.41,18.42
30.71,18.34
31.02,18.88
31.32,18.47
31.62,18.5
31.93,18.49
32.23,18.35
32.53,18.18
32.83,18.4
33.14,18.33
33.44,18.22
33.74,18.2
34.04,18.27
34.35,18.27
34.65,18.11
34.95,18.57
35.25,18.49
35.56,18.31
35.86,18.26
36.16,18.2
36.46,18.39
36.77,18.23
37.07,18.16
37.37,18.39
37.67,18.26
37.98,18.45
38.28,18.29
38.58,17.86
38.88,18.27
39.19,18.35
39.49,18.37
39.79,18.22
40.09,18.11
40.4,18.14
40.7,18.03
41.0,18.29
41.3,18.45
41.61,18.3
41.91,18.33
42.21,18.35
42.51,18.66
42.82,18.21
43.12,18.38
43.42,18.43
43.72,18.53
44.03,18.45
44.33,18.48
44.63,18.55
44.93,18.51
45.24,18.53
45.54,18.63
45.84,18.57
46.14,18.84
46.45,18.45
46.75,18.65
47.05,18.77
47.35,18.71
47.65,18.49
47.96,18.6
48.26,18.61
48.56,18.82
48.87,18.88
49.17,18.78
49.47,19.03
49.77,18.65
50.08,18.81
50.38,18.95
50.68,18.74
50.98,18.81
51.29,18.74
51.59,18.87
51.89,18.85
52.19,18.87
52.5,18.73
52.8,18.77
53.1,18.73
53.4,18.91
53.71,18.8
54.01,18.68
54.31,18.79
54.61,18.71
54.92,18.82
55.22,18.64
55.52,18.6
55.82,18.79
56.13,18.51
56.43,18.68
56.73,18.44
57.03,18.61
57.34,18.58
57.64,18.69
57.94,18.41
58.24,18.86
58.55,18.31
58.85,18.56
59.15,18.33
59.45,18.28
59.76,18.4
60.06,18.37
60.36,18.25
60.66,17.84
60.97,18.35
61.27,17.87
61.57,18.15
61.87,18.15
62.18,18.12
62.48,17.96
62.78,18.04
63.08,17.87
63.38,17.99
63.69,17.9
63.99,17.98
64.29,17.86
64.59,17.83
64.9,17.98
65.2,18.08
65.5,17.77
65.8,17.74
66.11,17.77
66.41,17.77
66.71,17.77
67.01,18.0
67.32,17.9
67.62,17.63
67.92,17.96
68.23,17.82
68.53,17.59
68.83,18.02
69.13,17.77
69.43,17.82
69.74,17.8
70.04,17.96
70.34,17.77
70.64,17.68
70.95,17.75
71.25,17.94
71.55,17.87
71.86,17.81
72.16,17.74
72.46,18.18
72.76,17.91
73.06,17.82
73.37,17.9
73.67,17.99
73.97,18.03
74.27,18.33
74.58,17.67
74.88,18.31
75.18,18.15
75.48,18.0
75.79,18.01
76.09,18.28
76.39,18.18
76.69,18.15
77.0,18.19
77.3,17.98
77.6,18.26
77.9,17.91
78.21,18.23
78.51,18.06
78.81,18.17
79.11,18.19
79.42,18.2
79.72,18.25
80.02,18.57
80.32,18.11
80.63,18.35
80.93,18.14
81.23,18.39
81.53,18.06
81.84,18.32
82.14,17.99
82.44,18.29
82.75,18.09
83.05,18.38
83.35,17.91
83.65,18.18
83.95,18.03
84.26,18.08
84.56,18.2
84.86,18.1
85.16,18.14
85.47,18.14
85.77,18.05
86.07,18.15
86.37,18.05
86.68,18.14
86.98,18.05
87.28,18.02
87.58,17.96
87.89,17.86
88.19,17.9
88.49,17.92
88.79,17.95
89.1,17.78
89.4,17.94
89.7,17.72
90.0,17.72
90.31,17.67
90.61,17.65
90.91,17.79
91.21,17.63
91.52,17.71
91.82,17.78
92.12,17.59
92.43,17.65
92.73,17.82
93.03,17.86
93.33,17.68
93.63,17.64
93.94,17.88
94.24,17.58
94.54,17.67
94.84,17.65
95.15,17.6
95.45,17.79
95.75,17.95
96.05,17.46
96.36,17.75
96.66,17.66
96.96,17.59
97.26,17.83
