time (s),temperature (C)
60.98,24.92
61.28,25.47
61.58,24.18
61.88,25.38
62.19,25.33
62.49,25.31
62.79,25.2
63.09,24.3
63.4,25.04
63.7,25.5
64.0,25.38
64.3,24.75
64.61,24.99
64.91,25.22
65.21,24.96
65.51,25.35
65.82,25.82
66.12,25.64
66.42,24.87
66.72,25.13
67.03,25.25
67.33,24.95
67.63,24.65
67.94,24.94
68.24,25.04
68.54,25.16
68.84,24.93
69.14,25.7
69.45,24.94
69.75,25.4
70.05,24.32
70.36,24.72
70.66,25.33
70.96,25.27
71.26,25.29
71.57,24.18
71.87,25.11
72.17,25.1
72.47,25.12
72.78,25.76
73.08,24.65
73.38,24.85
73.68,25.06
73.99,25.28
74.29,24.66
74.59,25.52
74.89,25.39
75.2,25.65
75.5,25.18
75.8,25.04
76.1,25.02
76.41,24.69
76.71,24.88
77.01,25.35
77.31,25.34
77.62,24.68
77.92,25.28
78.22,24.96
78.52,24.87
78.83,25.04
79.13,25.68
79.43,25.13
79.73,24.85
80.04,24.65
80.34,24.84
80.64,25.48
80.94,24.9
81.25,25.17
81.55,25.05
81.85,24.84
82.15,25.11
82.46,24.94
82.76,25.21
83.06,24.83
83.36,24.83
83.67,25.08
83.97,25.34
84.27,26.11
84.58,25.17
84.88,25.07
85.18,24.84
85.48,24.99
85.79,25.08
86.09,24.94
86.39,25.48
86.69,24.96
87.0,24.75
87.3,24.81
87.6,25.65
87.9,25.87
88.21,25.33
88.51,25.11
88.81,24.32
89.11,24.78
89.42,25.0
89.72,24.75
90.02,24.89
90.32,24.46
90.63,25.64
90.93,24.7
91.23,24.75
91.53,24.36
91.84,24.82
92.14,24.94
92.44,25.11
92.74,24.98
93.05,24.33
93.35,25.3
93.65,24.91
93.95,24.33
94.26,25.74
94.56,24.56
94.86,25.14
95.16,24.96
95.47,24.96
95.77,25.37
96.07,25.17
96.37,25.5
96.68,25.07
96.98,25.18
97.28,25.02
97.58,24.61
97.89,24.82
98.19,25.11
98.49,25.53
98.79,25.06
99.1,24.77
99.4,25.27
99.7,24.96
100.0,25.79
100.31,24.37
100.61,25.14
100.91,25.27
101.22,24.99
101.52,25.25
101.82,25.09
102.12,24.93
102.43,25.18
102.73,24.88
103.03,25.84
103.33,24.74
103.64,24.46
103.94,24.65
104.24,25.47
104.54,25.21
104.85,25.03
105.15,24.87
105.45,24.57
105.75,24.91
106.06,25.36
106.36,25.06
106.66,25.1
106.97,24.81
107.27,24.46
107.57,24.99
107.87,25.25
108.18,24.72
108.48,25.11
108.78,25.11
109.08,24.89
109.39,25.35
109.69,25.27
109.99,25.35
110.29,24.4
110.6,24.9
110.9,24.61
111.2,25.7
111.5,25.79
111.81,24.83
