time (s),temperature (C)
0.17,22.61
0.47,22.63
0.77,22.63
1.07,22.66
1.37,22.67
1.68,22.72
1.98,22.73
2.28,22.76
2.58,22.79
2.89,22.8
3.19,22.83
3.49,22.84
3.79,22.88
4.1,22.9
4.4,22.91
4.7,22.94
5.0,22.96
5.31,22.98
5.61,23.02
5.91,23.03
6.21,23.04
6.51,23.09
6.82,23.1
7.12,23.14
7.47,23.17
7.77,23.11
8.08,23.23
8.38,23.19
8.68,23.23
8.98,23.22
9.29,23.28
9.59,23.28
9.89,23.29
10.19,23.33
10.5,23.32
10.8,23.31
11.1,23.34
11.4,23.31
11.71,23.31
12.01,23.32
12.31,23.29
12.61,23.28
12.92,23.28
13.22,23.26
13.52,23.24
13.82,23.24
14.13,23.19
14.43,23.19
14.73,23.17
15.03,23.15
15.34,23.1
15.64,23.14
15.94,23.09
16.24,23.07
16.55,23.06
16.85,23.05
17.15,23.0
17.45,23.0
17.76,22.98
18.06,22.94
18.36,22.92
18.66,22.94
18.97,22.88
19.27,22.85
19.57,22.86
19.87,22.86
20.18,22.82
20.48,22.84
20.78,22.84
21.08,22.86
21.39,22.83
21.69,22.81
21.99,22.82
22.29,22.83
22.6,22.83
22.9,22.83
23.2,22.84
23.5,22.86
23.8,22.84
24.11,22.86
24.41,22.9
24.71,22.9
25.02,22.89
25.32,22.92
25.62,22.92
25.92,22.93
26.23,22.95
26.53,22.96
26.83,22.99
27.13,23.04
27.44,23.05
27.74,23.01
28.04,23.07
28.34,23.07
28.65,23.09
28.95,23.12
29.25,23.1
29.55,23.14
29.86,23.1
30.16,23.11
30.46,23.16
30.76,23.14
31.07,23.17
31.37,23.15
31.67,23.13
31.97,23.19
32.28,23.15
32.58,23.14
32.88,23.1
33.18,23.14
33.49,23.11
33.79,23.11
34.09,23.06
34.39,23.04
34.7,23.06
35.0,23.03
35.3,22.98
35.6,23.0
35.91,22.99
36.21,22.92
36.51,22.89
36.81,22.91
37.12,22.86
37.42,22.85
37.72,22.79
38.02,22.78
38.33,22.78
38.63,22.75
38.93,22.72
39.23,22.74
39.54,22.73
39.84,22.74
40.14,22.74
40.44,22.73
40.75,22.72
41.05,22.7
41.35,22.7
41.65,22.73
41.96,22.74
42.26,22.75
42.56,22.73
42.86,22.73
43.17,22.78
43.47,22.75
43.77,22.79
44.07,22.79
44.38,22.83
44.68,22.82
44.98,22.83
45.28,22.82
45.59,22.85
45.89,22.84
46.19,22.87
46.49,22.88
46.8,22.92
47.1,22.9
47.4,22.94
47.7,22.95
48.01,22.92
48.31,22.97
48.61,23.01
48.91,22.94
49.22,23.01
49.52,23.01
49.82,23.02
50.12,23.0
50.43,23.09
50.73,23.04
51.03,23.04
51.33,23.05
51.64,23.11
51.94,23.08
52.24,23.07
52.54,23.1
52.85,23.09
53.15,23.1
53.45,23.09
53.75,23.11
54.06,23.09
54.36,23.05
54.66,23.09
54.96,23.01
55.27,23.0
55.57,23.0
55.87,23.0
56.17,22.98
56.48,22.95
56.78,22.92
57.08,22.95
57.38,22.9
57.69,22.9
57.99,22.85
58.29,22.88
58.59,22.84
58.9,22.86
59.2,22.83
59.5,22.83
59.8,22.81
60.11,22.82
60.41,22.79
60.71,22.79
61.01,22.84
61.32,22.79
61.62,22.78
61.92,22.76
62.22,22.79
62.53,22.75
62.83,22.74
63.13,22.77
63.43,22.77
63.74,22.74
64.04,22.78
64.34,22.74
64.64,22.74
64.95,22.72
65.25,22.76
65.55,22.76
65.85,22.74
66.16,22.76
66.46,22.72
66.76,22.75
67.06,22.74
67.37,22.74
67.67,22.76
67.97,22.68
68.27,22.74
68.58,22.76
68.88,22.69
69.18,22.79
69.48,22.7
69.79,22.76
70.09,22.69
70.39,22.75
70.69,22.75
71.0,22.69
71.3,22.75
71.6,22.74
71.9,22.71
72.21,22.7
72.51,22.73
72.81,22.72
73.11,22.67
73.42,22.7
73.72,22.72
74.02,22.68
74.32,22.68
74.63,22.69
74.93,22.72
75.23,22.69
75.54,22.66
75.84,22.7
76.14,22.63
76.44,22.68
76.74,22.67
77.05,22.67
77.35,22.62
77.65,22.63
77.95,22.62
78.26,22.63
78.56,22.6
78.86,22.62
79.16,22.65
79.47,22.56
79.77,22.64
80.07,22.66
80.37,22.6
80.68,22.62
80.98,22.63
81.28,22.64
81.58,22.57
81.89,22.63
82.19,22.64
82.49,22.6
82.79,22.6
83.1,22.62
83.4,22.61
83.7,22.57
84.0,22.63
84.31,22.6
84.61,22.61
84.91,22.59
85.21,22.66
85.52,22.59
85.82,22.56
86.12,22.59
86.43,22.57
86.73,22.55
87.03,22.54
87.33,22.56
87.63,22.55
87.94,22.51
88.24,22.55
88.54,22.53
88.84,22.51
89.15,22.49
89.45,22.51
89.75,22.51
90.05,22.43
90.36,22.47
90.66,22.44
90.96,22.45
91.26,22.46
91.57,22.49
91.87,22.44
92.17,22.43
92.47,22.43
92.78,22.45
93.08,22.43
93.38,22.45
93.68,22.46
93.99,22.48
94.29,22.42
94.59,22.48
94.89,22.47
95.2,22.5
95.5,22.5
95.8,22.56
96.11,22.48
96.41,22.52
96.71,22.53
97.01,22.54
97.31,22.52
97.62,22.54
97.92,22.55
98.22,22.53
98.52,22.56
98.83,22.6
99.13,22.58
99.43,22.55
99.73,22.62
100.04,22.6
100.34,22.59
100.64,22.61
100.94,22.61
101.25,22.62
101.55,22.62
101.85,22.66
102.16,22.61
102.46,22.62
102.76,22.62
103.06,22.62
103.37,22.54
103.67,22.61
103.97,22.58
104.27,22.54
104.58,22.57
104.88,22.6
105.18,22.52
105.48,22.54
105.79,22.55
106.09,22.51
106.39,22.51
106.69,22.49
107.0,22.47
107.3,22.47
107.6,22.46
107.9,22.45
108.21,22.44
108.51,22.42
108.81,22.43
109.11,22.39
109.42,22.37
109.72,22.37
110.02,22.35
110.32,22.34
110.63,22.37
110.93,22.37
111.23,22.34
111.54,22.35
111.84,22.38
112.14,22.36
112.44,22.41
112.75,22.41
113.05,22.4
113.35,22.43
113.65,22.43
113.95,22.44
114.26,22.45
114.56,22.47
114.86,22.5
115.16,22.49
115.47,22.5
115.77,22.54
116.07,22.48
116.37,22.58
116.68,22.59
116.98,22.53
117.28,22.6
117.58,22.59
117.89,22.64
118.19,22.58
118.49,22.66
118.8,22.61
119.1,22.58
119.4,22.66
119.7,22.57
120.01,22.58
120.31,22.59
120.61,22.66
120.91,22.55
121.22,22.61
121.52,22.57
121.82,22.55
